=== 系统日志记录开始于 2025/11/19 11:37:00 ===
[2025/11/19 11:44:35] 场景:Flat    | 视觉:66.3  | 车辆:12.0  | 预测:55.4
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.5  | 车辆:12.0  | 预测:56.4
[2025/11/19 11:44:35] 场景:Flat    | 视觉:68.1  | 车辆:12.0  | 预测:56.9
[2025/11/19 11:44:35] 场景:Flat    | 视觉:68.4  | 车辆:12.0  | 预测:57.1
[2025/11/19 11:44:35] 场景:Flat    | 视觉:69.0  | 车辆:12.0  | 预测:57.6
[2025/11/19 11:44:35] 场景:Flat    | 视觉:68.7  | 车辆:12.0  | 预测:57.4
[2025/11/19 11:44:35] 场景:Flat    | 视觉:68.4  | 车辆:12.0  | 预测:57.1
[2025/11/19 11:44:35] 场景:Flat    | 视觉:68.1  | 车辆:12.0  | 预测:56.9
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.8  | 车辆:12.0  | 预测:56.6
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.5  | 车辆:12.0  | 预测:56.4
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.2  | 车辆:12.0  | 预测:56.2
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.5  | 车辆:12.0  | 预测:56.4
[2025/11/19 11:44:35] 场景:Flat    | 视觉:67.2  | 车辆:12.0  | 预测:56.2
[2025/11/19 11:44:37] 场景:Flat    | 视觉:70.7  | 车辆:12.0  | 预测:59.0
[2025/11/19 11:44:37] 场景:Flat    | 视觉:74.2  | 车辆:12.0  | 预测:61.8
[2025/11/19 11:44:37] 场景:Flat    | 视觉:77.7  | 车辆:12.0  | 预测:64.6
[2025/11/19 11:44:37] 场景:Flat    | 视觉:81.2  | 车辆:12.0  | 预测:67.4
[2025/11/19 11:44:37] 场景:Flat    | 视觉:84.7  | 车辆:12.0  | 预测:70.2
[2025/11/19 11:44:37] 场景:Flat    | 视觉:88.2  | 车辆:12.0  | 预测:73.0
[2025/11/19 11:44:38] 场景:Flat    | 视觉:91.7  | 车辆:12.0  | 预测:75.8
[2025/11/19 11:44:38] 场景:Flat    | 视觉:88.2  | 车辆:12.0  | 预测:73.0
[2025/11/19 11:44:40] 场景:Flat    | 视觉:87.9  | 车辆:12.0  | 预测:72.7
[2025/11/19 11:44:40] 场景:Flat    | 视觉:87.6  | 车辆:12.0  | 预测:72.5
[2025/11/19 11:44:40] 场景:Flat    | 视觉:87.3  | 车辆:12.0  | 预测:72.2
[2025/11/19 11:44:40] 场景:Flat    | 视觉:86.4  | 车辆:12.0  | 预测:71.5
[2025/11/19 11:44:40] 场景:Flat    | 视觉:85.8  | 车辆:12.0  | 预测:71.0
[2025/11/19 11:44:40] 场景:Flat    | 视觉:85.5  | 车辆:12.0  | 预测:70.8
[2025/11/19 11:44:40] 场景:Flat    | 视觉:85.2  | 车辆:12.0  | 预测:70.6
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:12.4  | 预测:70.6
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:12.8  | 预测:70.7
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:14.0  | 预测:71.0
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:14.8  | 预测:71.1
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:16.8  | 预测:71.5
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:17.6  | 预测:71.7
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:18.4  | 预测:71.8
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:19.6  | 预测:72.1
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:20.8  | 预测:72.3
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:21.2  | 预测:72.4
[2025/11/19 11:44:41] 场景:Flat    | 视觉:85.2  | 车辆:21.6  | 预测:72.5
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:22.2  | 预测:72.6
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:22.8  | 预测:72.7
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:24.0  | 预测:73.0
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:25.2  | 预测:73.2
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:30.6  | 预测:74.3
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:33.6  | 预测:74.9
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:39.6  | 预测:76.1
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:40.8  | 预测:76.3
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:43.2  | 预测:76.8
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:43.8  | 预测:76.9
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:45.0  | 预测:77.2
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:46.2  | 预测:77.4
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:48.0  | 预测:77.8
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:49.2  | 预测:78.0
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:50.4  | 预测:78.2
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:51.6  | 预测:78.5
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:52.8  | 预测:78.7
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:53.4  | 预测:78.8
[2025/11/19 11:44:42] 场景:Flat    | 视觉:85.2  | 车辆:54.0  | 预测:79.0
[2025/11/19 11:44:44] 场景:Flat    | 视觉:85.2  | 车辆:54.6  | 预测:79.1
[2025/11/19 11:44:44] 场景:Flat    | 视觉:85.2  | 车辆:55.2  | 预测:79.2
[2025/11/19 11:44:44] 场景:Flat    | 视觉:85.2  | 车辆:55.8  | 预测:79.3
[2025/11/19 11:44:55] 场景:Curvy   | 视觉:85.2  | 车辆:35.7  | 预测:65.4
[2025/11/19 11:44:57] 场景:Bumpy   | 视觉:71.9  | 车辆:55.8  | 预测:67.1
[2025/11/19 11:44:58] 场景:Backlit | 视觉:80.8  | 车辆:55.8  | 预测:63.3
[2025/11/19 11:45:00] 场景:Tunnel  | 视觉:80.8  | 车辆:55.8  | 预测:68.3
[2025/11/19 11:45:20] 场景:Tunnel  | 视觉:7.2   | 车辆:12.0  | 预测:9.6
[2025/11/19 11:45:24] 场景:Tunnel  | 视觉:10.4  | 车辆:12.5  | 预测:11.5
[2025/11/19 11:45:26] 场景:Tunnel  | 视觉:9.1   | 车辆:13.9  | 预测:11.5
[2025/11/19 11:45:28] 场景:Tunnel  | 视觉:11.7  | 车辆:15.6  | 预测:13.6
[2025/11/19 11:45:30] 场景:Tunnel  | 视觉:13.4  | 车辆:14.9  | 预测:14.1
[2025/11/19 11:45:33] 场景:Tunnel  | 视觉:13.5  | 车辆:16.8  | 预测:15.1
[2025/11/19 11:45:35] 场景:Tunnel  | 视觉:13.7  | 车辆:14.8  | 预测:14.2
[2025/11/19 11:45:37] 场景:Tunnel  | 视觉:11.0  | 车辆:18.6  | 预测:14.8
[2025/11/19 11:45:39] 场景:Tunnel  | 视觉:19.6  | 车辆:17.8  | 预测:18.7
[2025/11/19 11:45:41] 场景:Tunnel  | 视觉:15.2  | 车辆:15.4  | 预测:15.3
[2025/11/19 11:45:43] 场景:Tunnel  | 视觉:17.8  | 车辆:16.8  | 预测:17.3
[2025/11/19 11:45:45] 场景:Tunnel  | 视觉:18.4  | 车辆:20.5  | 预测:19.4
[2025/11/19 11:45:47] 场景:Tunnel  | 视觉:21.3  | 车辆:19.5  | 预测:20.4
[2025/11/19 11:45:49] 场景:Tunnel  | 视觉:21.1  | 车辆:23.9  | 预测:22.5
[2025/11/19 11:45:51] 场景:Tunnel  | 视觉:20.2  | 车辆:23.8  | 预测:22.0
[2025/11/19 11:45:53] 场景:Tunnel  | 视觉:27.0  | 车辆:25.5  | 预测:26.3
[2025/11/19 11:45:55] 场景:Tunnel  | 视觉:26.0  | 车辆:25.5  | 预测:25.7
[2025/11/19 11:45:57] 场景:Tunnel  | 视觉:28.2  | 车辆:26.6  | 预测:27.4
[2025/11/19 11:45:59] 场景:Tunnel  | 视觉:28.4  | 车辆:24.6  | 预测:26.5
[2025/11/19 11:46:01] 场景:Tunnel  | 视觉:29.5  | 车辆:23.0  | 预测:26.2
[2025/11/19 11:46:03] 场景:Tunnel  | 视觉:28.9  | 车辆:28.4  | 预测:28.6
[2025/11/19 11:46:05] 场景:Tunnel  | 视觉:31.8  | 车辆:28.1  | 预测:29.9
[2025/11/19 11:46:07] 场景:Tunnel  | 视觉:34.5  | 车辆:31.0  | 预测:32.8
[2025/11/19 11:46:09] 场景:Tunnel  | 视觉:39.0  | 车辆:25.1  | 预测:32.1
[2025/11/19 11:46:11] 场景:Tunnel  | 视觉:38.6  | 车辆:27.5  | 预测:33.1
[2025/11/19 11:46:13] 场景:Tunnel  | 视觉:39.2  | 车辆:32.4  | 预测:35.8
[2025/11/19 11:46:15] 场景:Tunnel  | 视觉:42.5  | 车辆:30.6  | 预测:36.5
[2025/11/19 11:46:17] 场景:Tunnel  | 视觉:40.4  | 车辆:33.9  | 预测:37.1
[2025/11/19 11:46:19] 场景:Tunnel  | 视觉:45.0  | 车辆:32.1  | 预测:38.5
[2025/11/19 11:46:21] 场景:Tunnel  | 视觉:45.6  | 车辆:31.7  | 预测:38.7
[2025/11/19 11:46:23] 场景:Tunnel  | 视觉:48.9  | 车辆:34.2  | 预测:41.6
[2025/11/19 11:46:25] 场景:Tunnel  | 视觉:46.6  | 车辆:31.9  | 预测:39.2
[2025/11/19 11:46:27] 场景:Tunnel  | 视觉:47.4  | 车辆:35.9  | 预测:41.7
[2025/11/19 11:46:29] 场景:Tunnel  | 视觉:47.1  | 车辆:37.3  | 预测:42.2
[2025/11/19 11:46:31] 场景:Tunnel  | 视觉:50.4  | 车辆:36.2  | 预测:43.3
[2025/11/19 11:46:33] 场景:Tunnel  | 视觉:49.3  | 车辆:35.9  | 预测:42.6
[2025/11/19 11:47:33] 场景:Tunnel  | 视觉:53.5  | 车辆:40.5  | 预测:47.0
[2025/11/19 11:48:22] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:48:33] 场景:Tunnel  | 视觉:50.1  | 车辆:35.9  | 预测:43.0
[2025/11/19 11:49:33] 场景:Tunnel  | 视觉:60.7  | 车辆:40.4  | 预测:50.5
[2025/11/19 11:50:33] 场景:Tunnel  | 视觉:59.5  | 车辆:43.7  | 预测:51.6
[2025/11/19 11:58:22] 场景:Tunnel  | 视觉:58.6  | 车辆:40.9  | 预测:49.8
[2025/11/19 11:58:27] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:58:27] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 14:49:54] 场景:Flat    | 视觉:8.1   | 车辆:12.0  | 预测:8.9
[2025/11/19 14:49:54] 场景:Flat    | 视觉:8.7   | 车辆:12.0  | 预测:9.4
[2025/11/19 14:49:54] 场景:Flat    | 视觉:9.3   | 车辆:12.0  | 预测:9.8
[2025/11/19 14:49:54] 场景:Flat    | 视觉:9.9   | 车辆:12.0  | 预测:10.3
[2025/11/19 14:49:54] 场景:Flat    | 视觉:10.5  | 车辆:12.0  | 预测:10.8
[2025/11/19 14:49:54] 场景:Flat    | 视觉:12.9  | 车辆:12.0  | 预测:12.7
[2025/11/19 14:49:54] 场景:Flat    | 视觉:15.9  | 车辆:12.0  | 预测:15.1
[2025/11/19 14:49:54] 场景:Flat    | 视觉:18.9  | 车辆:12.0  | 预测:17.5
[2025/11/19 14:49:54] 场景:Flat    | 视觉:20.7  | 车辆:12.0  | 预测:19.0
[2025/11/19 14:49:54] 场景:Flat    | 视觉:23.1  | 车辆:12.0  | 预测:20.9
[2025/11/19 14:49:55] 场景:Flat    | 视觉:24.9  | 车辆:12.0  | 预测:22.3
[2025/11/19 14:49:55] 场景:Flat    | 视觉:25.5  | 车辆:12.0  | 预测:22.8
[2025/11/19 14:49:55] 场景:Flat    | 视觉:27.3  | 车辆:12.0  | 预测:24.2
[2025/11/19 14:49:55] 场景:Flat    | 视觉:27.9  | 车辆:12.0  | 预测:24.7
[2025/11/19 14:49:55] 场景:Flat    | 视觉:29.7  | 车辆:12.0  | 预测:26.2
[2025/11/19 14:49:55] 场景:Flat    | 视觉:30.3  | 车辆:12.0  | 预测:26.6
[2025/11/19 14:49:55] 场景:Flat    | 视觉:31.5  | 车辆:12.0  | 预测:27.6
[2025/11/19 14:49:55] 场景:Flat    | 视觉:32.1  | 车辆:12.0  | 预测:28.1
[2025/11/19 14:49:55] 场景:Flat    | 视觉:33.3  | 车辆:12.0  | 预测:29.0
[2025/11/19 14:49:55] 场景:Flat    | 视觉:33.9  | 车辆:12.0  | 预测:29.5
[2025/11/19 14:49:55] 场景:Flat    | 视觉:35.1  | 车辆:12.0  | 预测:30.5
[2025/11/19 14:49:55] 场景:Flat    | 视觉:35.7  | 车辆:12.0  | 预测:31.0
[2025/11/19 14:49:55] 场景:Flat    | 视觉:36.9  | 车辆:12.0  | 预测:31.9
[2025/11/19 14:49:55] 场景:Flat    | 视觉:37.5  | 车辆:12.0  | 预测:32.4
[2025/11/19 14:49:55] 场景:Flat    | 视觉:38.1  | 车辆:12.0  | 预测:32.9
[2025/11/19 14:49:55] 场景:Flat    | 视觉:38.7  | 车辆:12.0  | 预测:33.4
[2025/11/19 14:49:55] 场景:Flat    | 视觉:39.3  | 车辆:12.0  | 预测:33.8
[2025/11/19 14:49:55] 场景:Flat    | 视觉:39.9  | 车辆:12.0  | 预测:34.3
[2025/11/19 14:49:55] 场景:Flat    | 视觉:40.5  | 车辆:12.0  | 预测:34.8
[2025/11/19 14:49:55] 场景:Flat    | 视觉:41.7  | 车辆:12.0  | 预测:35.8
[2025/11/19 14:49:55] 场景:Flat    | 视觉:42.3  | 车辆:12.0  | 预测:36.2
[2025/11/19 14:49:55] 场景:Flat    | 视觉:42.9  | 车辆:12.0  | 预测:36.7
[2025/11/19 14:49:55] 场景:Flat    | 视觉:43.5  | 车辆:12.0  | 预测:37.2
[2025/11/19 14:49:55] 场景:Flat    | 视觉:44.1  | 车辆:12.0  | 预测:37.7
[2025/11/19 14:49:56] 场景:Flat    | 视觉:44.7  | 车辆:12.0  | 预测:38.2
[2025/11/19 14:49:56] 场景:Flat    | 视觉:45.3  | 车辆:12.0  | 预测:38.6
[2025/11/19 14:49:56] 场景:Flat    | 视觉:45.9  | 车辆:12.0  | 预测:39.1
[2025/11/19 14:49:56] 场景:Flat    | 视觉:46.5  | 车辆:12.0  | 预测:39.6
[2025/11/19 14:49:56] 场景:Flat    | 视觉:47.1  | 车辆:12.0  | 预测:40.1
[2025/11/19 14:49:56] 场景:Flat    | 视觉:47.7  | 车辆:12.0  | 预测:40.6
[2025/11/19 14:49:56] 场景:Flat    | 视觉:48.3  | 车辆:12.0  | 预测:41.0
[2025/11/19 14:49:56] 场景:Flat    | 视觉:48.9  | 车辆:12.0  | 预测:41.5
[2025/11/19 14:49:56] 场景:Flat    | 视觉:49.5  | 车辆:12.0  | 预测:42.0
[2025/11/19 14:49:56] 场景:Flat    | 视觉:50.1  | 车辆:12.0  | 预测:42.5
[2025/11/19 14:49:56] 场景:Flat    | 视觉:50.7  | 车辆:12.0  | 预测:43.0
[2025/11/19 14:49:56] 场景:Flat    | 视觉:51.3  | 车辆:12.0  | 预测:43.4
[2025/11/19 14:49:56] 场景:Flat    | 视觉:51.9  | 车辆:12.0  | 预测:43.9
[2025/11/19 14:49:56] 场景:Flat    | 视觉:52.5  | 车辆:12.0  | 预测:44.4
